"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CAALFM_C404230WA",7902.06011388958,5.16279122201151,0.204469980764593,3.91055951939881e-142,2.34711782354317e-138
"CAALFM_CR09350CA",1174.7420332167,8.17393601576202,0.338096693095766,4.20526180765418e-129,1.26199906847702e-125
"CAALFM_C302860WA",4665.24953001509,4.68173370830892,0.199923344941043,1.67974541420325e-122,3.36061065868264e-119
"CAALFM_C305130CA",148044.565079694,11.5456384262287,0.517948606377372,2.79421286509912e-111,4.19271640408123e-108
"CAALFM_C503480CA",19328.8279198299,3.88761275460103,0.199081798745939,1.90461341740718e-86,2.28629794625557e-83
"CAALFM_C203370WA",3682.20428227489,4.44655671691172,0.228381220381391,1.1224896430437e-85,1.12286380625805e-82
"CAALFM_CR09290WA",71545.15853897,9.30994985718313,0.496803533122158,1.50458492483857e-79,1.2900741026973e-76
"CAALFM_CR09360WA",7084.39049298342,6.3455706870295,0.499956694841777,3.50767659628951e-38,2.6316343663662e-35
"CAALFM_C102590CA",28052.7950017401,2.54775475869636,0.252792517700722,3.84670770006364e-25,2.56532662397577e-22
"CAALFM_C404220WA",320.155908111694,1.71097878786946,0.257620380479777,1.40197162148873e-12,8.41463367217537e-10
"CAALFM_C204580WA",5087.6829200704,1.01387574707374,0.174453836269615,2.80012835025261e-10,1.52785185074692e-07
"CAALFM_C102600WA",2442.20991117495,1.18964710270844,0.284417283890943,1.15709795371409e-06,0.000578741826515999
"CAALFM_C302870CA",303.654551331314,1.20927705400107,0.391277368135143,6.79351446175239e-05,0.0313651336918753
"CAALFM_C200760CA",359.680370877278,2.4429229935709,0.892505996400266,0.000171255341400588,0.073419611363309
"CAALFM_C603170CA",305.978160043283,1.32686012465961,0.547518489680611,0.000426256904064645,0.15989962113725
"CAALFM_CR09270CA",3933.96798872808,1.19335639149489,0.486380562155238,0.000411068863633773,0.15989962113725
"CAALFM_C700770WA",635.909874645947,1.24358344816195,0.527113341122136,0.000498408007588645,0.175967344796885
"CAALFM_C201970CA",2356.01452936839,0.840200749920004,0.378944389704597,0.000712747895905797,0.237661826179255
"CAALFM_CR01980CA",5315.76333459742,0.671205735023818,0.318224602683728,0.000960181444150595,0.303316264620625
"CAALFM_C111490CA",30.7684653677879,1.39641735087246,0.711809117400789,0.0011823243942534,0.354815550715445
"CAALFM_C110270CA",1677.08035928386,0.250171049200462,0.117946278826062,0.00145517764141366,0.415903628750705
"CAALFM_C406510CA",1552.43236241406,0.992831167110288,0.845805125923141,0.00333045551995958,0.9086088195817
"CAALFM_C100020CA",1585.32421743592,-0.00109545452556368,0.0561703032343322,0.889464038411061,0.99970875222106
"CAALFM_C100030CA",54.1648375580755,0.00504566785219013,0.0566668286349731,0.411746676792751,0.99970875222106
"CAALFM_C100040WA",751.885322601398,-0.00313332501032455,0.0554416307131325,0.77458637600475,0.99970875222106
"CAALFM_C100060WA",17369.3567951687,0.0127121952179942,0.0565671698473999,0.508196529907293,0.99970875222106
"CAALFM_C100070WA",6408.4979151704,-0.00132134815250729,0.0559207156696138,0.881091751586965,0.99970875222106
"CAALFM_C100080CA",750.059692121671,-0.00609702643636494,0.0542372542045595,0.717103637806945,0.99970875222106
"CAALFM_C100090WA",108.604738304166,0.014638462585319,0.0584114670266276,0.172604682028449,0.99970875222106
"CAALFM_C100100CA",1604.70205145393,-0.00159911830513649,0.0557801154791046,0.8710197458682,0.99970875222106
"CAALFM_C100110WA",7851.51071279075,-0.000528178100978846,0.0560962926931295,0.942059693135539,0.99970875222106
"CAALFM_C100120CA",1562.29532028299,-0.0112559595631182,0.0557775750538,0.47706059571579,0.99970875222106
"CAALFM_C100130CA",1919.13037566569,0.00307520303794933,0.0554630811543525,0.798782678440981,0.99970875222106
"CAALFM_C100140WA",3825.94572311228,0.0200546395940882,0.0528141029928984,0.428341366229789,0.99970875222106
"CAALFM_C100150CA",1539.31255829885,0.00618634934082033,0.0559635291571907,0.487325280654716,0.99970875222106
"CAALFM_C100160CA",16063.4991199353,-0.000394703256874189,0.0565970022351422,0.875913761238721,0.99970875222106
